The error in the VIE for each molecule in the McKenchie test set of 147 small molecules, ordered first by the magnitude of the dielecitric constant returned when using lc-wpbe, then alphabetically.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     |        |                blyp                          |                b3lyp                         |                bhhlyp                        |                hf                            |                hse06                         |                lc-wpbe                      
Molecule             | ref    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C2F4                 |  10.54 |           0.66           3.53           3.53 |           0.22           3.12           3.12 |           0.08           3.02           1.69 |           0.79           3.81           0.79 |           0.29           3.18           3.18 |           0.34           3.21           0.85
NSF                  |  11.78 |           0.36           3.46           3.46 |           0.13           3.24           3.19 |           0.27           3.39           1.52 |           1.49           4.64           1.49 |           0.20           3.30           3.30 |           0.09           3.19           0.66
PF3                  |  12.21 |           0.47           3.68           3.68 |           0.06           3.31           3.31 |          -0.07           3.24           1.71 |           0.65           4.07           0.65 |           0.16           3.41           3.41 |           0.17           3.41           0.76
NaCl                 |   9.05 |          -0.10           2.07           2.07 |          -0.21           1.91           1.83 |           0.02           2.10           1.01 |           1.08           3.10           1.08 |          -0.13           1.97           1.91 |          -0.17           1.91           0.24
N2H4                 |  10.28 |           0.51           3.42           3.42 |           0.19           3.09           3.07 |           0.15           3.04           1.43 |           0.80           3.67           0.80 |           0.25           3.14           3.14 |           0.18           3.06           0.74
C2H2                 |  11.46 |           0.21           3.21           3.21 |           0.13           3.12           3.12 |           0.44           3.42           1.94 |           1.66           4.62           1.66 |           0.22           3.20           3.20 |           0.08           3.06           0.66
CH3CH3               |  12.74 |           0.96           3.57           3.57 |           0.53           3.14           3.14 |           0.30           2.92           1.76 |           0.82           0.15           0.82 |           0.57           3.17           3.17 |           0.47           3.07           0.97
CH3CN                |  12.54 |           0.55           3.32           3.32 |           0.32           3.06           3.06 |           0.50           3.21           1.80 |           1.65           4.37           1.65 |           0.38           3.12           3.12 |           0.19           2.92           0.74
HCONH2               |  10.41 |           0.27           2.99           2.99 |           0.10           2.79           2.75 |           0.35           3.00           1.12 |           1.61           4.22           1.61 |           0.23           2.90           2.87 |           0.09           2.77           0.64
CH3Cl                |  11.36 |           0.36           3.24           3.24 |           0.07           2.95           2.95 |           0.13           3.01           1.53 |           1.05           3.92           1.05 |           0.11           2.97           2.97 |           0.01           2.88           0.59
CH3CH2OH             |  10.86 |           0.76           3.49           3.49 |           0.36           3.11           3.11 |           0.34           3.13           1.37 |           1.38           4.22           1.38 |           0.43           3.18           3.18 |           0.33           3.08           0.89
CClF3                |  13.01 |           0.60           3.62           3.62 |           0.11           3.22           3.22 |           0.04           3.24           1.59 |           0.91           4.17           0.91 |           0.13           3.25           3.25 |           0.08           3.19           0.72
Ethylene_oxide       |  10.74 |           0.41           3.20           3.20 |           0.18           2.94           2.94 |           0.36           3.10           1.15 |           1.56           4.28           1.56 |           0.27           3.02           3.02 |           0.13           2.88           0.71
OCHCHO               |  10.61 |           0.75           3.62           3.62 |           0.21           3.07           3.07 |          -0.16           2.70           1.20 |           0.00           2.85           0.00 |           0.25           3.11           3.11 |           0.13           2.99           0.73
HCCF                 |  11.41 |           0.39           3.39           3.39 |           0.17           3.18           3.18 |           0.32           3.34           1.89 |           1.37           4.40           1.37 |           0.24           3.24           3.24 |           0.16           3.16           0.80
Cl2                  |  11.53 |           0.43           3.45           3.45 |           0.03           3.04           3.04 |          -0.13           2.87           1.49 |           0.29           3.29           0.29 |           0.01           3.00           3.00 |          -0.11           2.89           0.55
CF3CN                |  14.24 |           0.87           3.73           3.73 |           0.34           3.31           3.31 |          -0.14           2.81           1.93 |           1.24           4.26           1.24 |           0.38           3.37           3.37 |          -1.39           2.79           0.87
SF6                  |  15.76 |           2.13           4.84           4.84 |           0.96           3.66           3.66 |          -0.29           2.42           1.13 |          -1.21           1.52          -1.21 |           0.87           3.56           3.56 |           0.84           3.65           1.59
SO2                  |  12.40 |           0.53           3.71           3.71 |           0.11           3.29           3.29 |          -0.06           3.13           1.48 |           0.48           3.67           0.48 |           0.15           3.33           3.33 |           0.08           3.26           0.86
ClF3                 |  12.86 |           0.94           4.01           4.01 |           0.19           3.28           3.28 |          -0.43           2.69           1.24 |          -0.51           2.74          -0.51 |           0.18           3.25           3.25 |           0.22           3.30           1.01
CH3                  |   9.74 |          -0.03           3.36           3.36 |          -0.14           3.25           3.25 |           0.08           3.47           1.74 |           0.81           4.19           0.81 |          -0.17           3.21           3.21 |          -0.32           3.06           0.56
HCOOH                |  11.55 |           0.34           3.31           3.31 |           0.11           3.08           3.08 |           0.30           3.26           1.31 |           1.53           4.49           1.53 |           0.22           3.18           3.18 |           0.08           3.04           0.85
CO                   |  13.95 |           0.08           3.52           3.52 |          -0.22           3.24           3.24 |          -0.23           3.26           1.57 |           0.90           4.38           0.90 |          -0.02           3.44           3.44 |          -0.11           3.35           0.79
CH4                  |  14.39 |           0.53           3.85           3.85 |           0.17           3.58           3.58 |           0.26           3.61           1.99 |           1.10           4.51           0.94 |           0.26           3.65           3.65 |           0.17           3.60           1.16
