The deviation from linearity measured by Equation 3 for each molecule in the McKenchie test set of 147 small molecules, ordered first by the magnitude of the dielecitric constant returned when using lc-wpbe, then alphabetically.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                       |                blyp                          |                b3lyp                         |                bhhlyp                        |                hf                            |                hse06                         |                lc-wpbe                      
Molecule               | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
OCHCHO                 |          -0.61          -0.16          -0.16 |          -0.46          -0.01          -0.01 |          -0.21           0.23          -0.00 |           0.23           0.67           0.23 |          -0.48          -0.03          -0.03 |          -0.10           0.35          -0.00
HCCF                   |          -0.70          -0.20          -0.20 |          -0.53          -0.02          -0.02 |          -0.26           0.24          -0.00 |           0.21           0.72           0.21 |          -0.54          -0.03          -0.03 |          -0.11           0.40          -0.00
Cl2                    |          -0.65          -0.17          -0.17 |          -0.50          -0.01          -0.01 |          -0.26           0.22          -0.00 |           0.15           0.64           0.15 |          -0.52          -0.04          -0.04 |          -0.11           0.38          -0.00
CF3CN                  |          -0.63          -0.19          -0.19 |          -0.51          -0.04          -0.04 |          -0.24           0.24          -0.00 |           0.36           0.86           0.36 |          -0.52          -0.05          -0.05 |          -0.26           0.37          -0.00
SF6                    |          -0.60          -0.17          -0.17 |          -0.46          -0.03          -0.03 |          -0.23           0.20          -0.00 |           0.24           0.67           0.24 |          -0.49          -0.06          -0.06 |          -0.12           0.33           0.00
SO2                    |          -0.68          -0.18          -0.18 |          -0.51          -0.02          -0.02 |          -0.24           0.25          -0.00 |           0.25           0.73           0.25 |          -0.53          -0.04          -0.04 |          -0.12           0.37          -0.00
ClF3                   |          -0.67          -0.20          -0.20 |          -0.51          -0.04          -0.04 |          -0.25           0.22          -0.00 |           0.22           0.71           0.22 |          -0.53          -0.06          -0.06 |          -0.12           0.35           0.00
CH3                    |          -0.76          -0.20          -0.20 |          -0.57          -0.00          -0.00 |          -0.28           0.29          -0.00 |           0.23           0.79           0.23 |          -0.57          -0.01          -0.01 |          -0.15           0.42           0.00
HCOOH                  |          -0.73          -0.22          -0.22 |          -0.52          -0.01          -0.01 |          -0.17           0.33          -0.00 |           0.44           0.95           0.44 |          -0.52          -0.01          -0.01 |          -0.13           0.38           0.00
CO                     |          -0.80          -0.23          -0.23 |          -0.59          -0.03          -0.03 |          -0.29           0.28          -0.00 |           0.34           0.91           0.34 |          -0.58          -0.02          -0.02 |          -0.15           0.42           0.00
CH4                    |          -0.75          -0.21          -0.21 |          -0.58          -0.02          -0.02 |          -0.28           0.27          -0.00 |           0.24           0.80           0.21 |          -0.59          -0.03          -0.03 |          -0.16           0.40           0.00
NH3                    |          -0.80          -0.21          -0.21 |          -0.58           0.01           0.00 |          -0.25           0.34           0.00 |           0.33           0.91           0.33 |          -0.57           0.02           0.00 |          -0.15           0.43           0.00
CH3NO2                 |          -0.68          -0.21          -0.21 |          -0.50          -0.03          -0.03 |          -0.19           0.28           0.00 |           0.47           0.96           0.47 |          -0.51          -0.04          -0.04 |          -0.13           0.34          -0.00
